STORE,H_Val,WEEK,deal_X,feat_X,Sales_oz_X,deal_Y,feat_Y,Sales_oz_Y,pX,pY,class
1,0.09001,1,1,0,13032,0,0,2088,0.025,0.028,lit
1,0.09001,2,0,1,3384,0,0,3960,0.028,0.03,lit
1,0.09001,3,0,0,2088,0,1,19296,0.03,0.028,lit
1,0.09001,4,1,1,35064,0,0,576,0.021,0.03,lit
1,0.09001,5,1,1,26640,0,0,3312,0.022,0.028,lit
1,0.09001,6,0,0,2304,0,0,1800,0.03,0.03,lit
1,0.09001,7,0,0,1800,1,0,14904,0.03,0.023,lit
1,0.09001,8,0,0,2592,0,1,8496,0.03,0.028,lit
1,0.09001,9,0,0,2520,0,0,2664,0.03,0.03,lit
1,0.09001,10,0,0,1728,1,0,13104,0.03,0.023,lit
1,0.09001,11,0,0,2376,0,0,7200,0.03,0.03,lit
1,0.09001,12,0,1,5832,1,1,20520,0.03,0.023,lit
1,0.09001,13,0,0,2448,0,0,2016,0.03,0.03,lit
1,0.09001,14,0,0,2592,0,0,1080,0.03,0.03,lit
1,0.09001,15,0,0,2376,0,1,8784,0.03,0.028,lit
1,0.09001,16,0,0,2808,0,0,1224,0.028,0.03,lit
1,0.09001,17,0,1,6264,0,0,5184,0.03,0.028,lit
1,0.09001,18,0,1,4824,1,0,16416,0.03,0.023,lit
1,0.09001,19,0,0,2520,0,0,3816,0.028,0.03,lit
1,0.09001,20,1,1,24264,0,0,7416,0.022,0.03,lit
1,0.09001,21,0,0,2520,0,0,1800,0.03,0.03,lit
1,0.09001,22,1,1,22896,1,1,30168,0.022,0.023,lit
1,0.09001,23,1,1,31824,0,0,6480,0.022,0.03,lit
1,0.09001,24,0,0,2376,1,1,33552,0.028,0.021,lit
1,0.09001,25,1,1,20808,1,1,30888,0.022,0.023,lit
1,0.09001,26,0,0,2304,0,0,1512,0.03,0.03,lit
1,0.09001,27,0,1,3240,0,0,576,0.03,0.03,lit
1,0.09001,28,0,0,2592,0,1,15984,0.028,0.03,lit
1,0.09001,29,0,0,2448,0,0,1296,0.03,0.03,lit
1,0.09001,30,0,1,3384,0,0,2592,0.028,0.03,lit
1,0.09001,31,0,0,2160,0,0,2448,0.03,0.028,lit
1,0.09001,32,1,1,25776,0,1,11232,0.023,0.03,lit
1,0.09001,33,1,0,14616,0,0,288,0.025,0.03,lit
1,0.09001,34,0,0,2232,0,1,50904,0.03,0.028,lit
1,0.09001,35,0,0,2160,0,1,10584,0.03,0.028,lit
1,0.09001,36,0,0,2016,0,0,7344,0.03,0.028,lit
1,0.09001,37,0,1,3024,0,1,8280,0.028,0.03,lit
1,0.09001,38,0,0,2232,0,0,2808,0.03,0.03,lit
1,0.09001,39,0,1,3456,0,0,3744,0.028,0.03,lit
1,0.09001,40,0,0,2520,0,0,1800,0.03,0.03,lit
1,0.09001,41,0,0,2304,0,0,936,0.03,0.028,lit
1,0.09001,42,0,0,2448,0,1,8136,0.03,0.03,lit
1,0.09001,43,0,1,3600,0,0,1656,0.028,0.03,lit
1,0.09001,44,1,1,29160,0,0,2088,0.022,0.028,lit
1,0.09001,45,0,0,2016,0,0,864,0.03,0.028,lit
1,0.09001,46,1,1,32976,0,0,7488,0.021,0.028,lit
1,0.09001,47,0,0,2016,0,0,4896,0.03,0.03,lit
1,0.09001,48,0,0,2952,0,0,4824,0.028,0.03,lit
1,0.09001,49,0,0,2160,0,0,3528,0.03,0.03,lit
1,0.09001,50,1,1,26280,0,0,936,0.023,0.028,lit
1,0.09001,51,0,1,3168,1,0,12096,0.028,0.023,lit
1,0.09001,52,0,0,2448,0,0,3312,0.028,0.03,lit
1,0.09001,1,0,0,2160,0,0,2304,0.03,0.028,reg
1,0.09001,2,0,0,2016,0,0,6264,0.03,0.028,reg
1,0.09001,3,0,0,2232,0,0,2160,0.028,0.03,reg
1,0.09001,4,0,0,2160,0,0,6192,0.03,0.03,reg
1,0.09001,5,0,0,3024,0,0,792,0.028,0.03,reg
1,0.09001,6,0,0,1584,1,1,94968,0.03,0.021,reg
1,0.09001,7,0,1,3096,0,0,4680,0.028,0.03,reg
1,0.09001,8,0,0,2016,0,1,7920,0.03,0.03,reg
1,0.09001,9,0,0,2232,0,0,936,0.028,0.028,reg
1,0.09001,10,0,0,2088,0,0,3456,0.03,0.03,reg
1,0.09001,11,0,1,3816,0,0,216,0.028,0.039,reg
1,0.09001,12,0,0,2376,1,0,16560,0.03,0.023,reg
1,0.09001,13,0,1,3744,0,0,1152,0.028,0.039,reg
1,0.09001,14,0,1,3888,0,0,5976,0.028,0.03,reg
1,0.09001,15,0,0,2160,1,1,20304,0.03,0.021,reg
1,0.09001,16,1,1,29592,0,0,792,0.022,0.03,reg
1,0.09001,17,0,0,2376,0,0,6408,0.03,0.03,reg
1,0.09001,18,0,0,2304,0,0,2736,0.03,0.03,reg
1,0.09001,19,0,0,3024,0,0,1080,0.028,0.03,reg
1,0.09001,20,0,1,3312,0,0,3888,0.028,0.03,reg
1,0.09001,21,0,0,2304,0,0,4752,0.03,0.028,reg
1,0.09001,22,0,0,2304,0,0,4752,0.03,0.03,reg
1,0.09001,23,0,0,2304,1,1,33840,0.03,0.021,reg
1,0.09001,24,0,0,2448,0,0,936,0.03,0.03,reg
1,0.09001,25,0,1,3600,0,0,3960,0.028,0.03,reg
1,0.09001,26,0,0,2016,1,1,13752,0.03,0.023,reg
1,0.09001,27,0,0,2880,0,1,14472,0.028,0.028,reg
1,0.09001,28,0,0,2592,0,0,3672,0.028,0.028,reg
1,0.09001,29,0,0,2952,0,0,1512,0.028,0.03,reg
1,0.09001,30,0,0,2952,0,0,2808,0.028,0.03,reg
1,0.09001,31,0,0,2304,0,1,14112,0.03,0.03,reg
1,0.09001,32,0,0,2664,0,0,216,0.028,0.03,reg
1,0.09001,33,0,0,2376,0,0,3096,0.03,0.028,reg
1,0.09001,34,0,0,1008,0,0,3024,0.039,0.028,reg
1,0.09001,35,0,0,2232,0,1,8136,0.03,0.028,reg
1,0.09001,36,0,0,936,1,0,17496,0.039,0.023,reg
1,0.09001,37,1,1,19512,0,0,6264,0.025,0.03,reg
1,0.09001,38,1,1,35208,0,0,648,0.021,0.03,reg
1,0.09001,39,0,0,1944,1,1,36072,0.03,0.021,reg
1,0.09001,40,0,0,2736,0,0,7560,0.028,0.03,reg
1,0.09001,41,0,0,2952,0,1,14832,0.028,0.028,reg
1,0.09001,42,0,0,2376,1,1,23328,0.03,0.023,reg
1,0.09001,43,0,1,4104,0,0,216,0.028,0.039,reg
1,0.09001,44,0,0,1800,1,1,49680,0.03,0.021,reg
1,0.09001,45,0,0,2376,1,1,26136,0.028,0.021,reg
1,0.09001,46,0,0,2376,0,0,5472,0.03,0.03,reg
1,0.09001,47,0,1,3384,0,0,3168,0.028,0.03,reg
1,0.09001,48,1,1,24408,1,1,39888,0.022,0.023,reg
1,0.09001,49,0,0,2016,1,1,27216,0.03,0.023,reg
1,0.09001,50,0,0,2448,0,0,4824,0.03,0.03,reg
1,0.09001,51,0,0,2088,1,1,33408,0.028,0.023,reg
1,0.09001,52,0,0,2592,0,0,3600,0.028,0.03,reg
2,0.11035,1,1,1,29880,0,0,1080,0.022,0.03,lit
2,0.11035,2,1,1,25920,0,0,432,0.022,0.03,lit
2,0.11035,3,0,0,2664,0,0,1296,0.03,0.03,lit
2,0.11035,4,0,0,1944,1,1,67536,0.03,0.021,lit
2,0.11035,5,0,0,2520,0,0,6192,0.03,0.028,lit
2,0.11035,6,0,0,2304,0,0,3888,0.03,0.03,lit
2,0.11035,7,0,0,2808,0,0,6408,0.028,0.03,lit
2,0.11035,8,0,0,2160,0,0,144,0.03,0.03,lit
2,0.11035,9,1,1,35784,0,0,432,0.021,0.028,lit
2,0.11035,10,0,1,3600,0,0,3744,0.028,0.03,lit
2,0.11035,11,1,1,24984,0,0,792,0.022,0.03,lit
2,0.11035,12,0,0,2088,0,1,13104,0.03,0.028,lit
2,0.11035,13,1,0,17280,1,1,25056,0.023,0.021,lit
2,0.11035,14,0,1,3096,0,0,432,0.028,0.03,lit
2,0.11035,15,0,0,2304,0,0,2304,0.028,0.03,lit
2,0.11035,16,1,1,26568,1,1,23328,0.021,0.021,lit
2,0.11035,17,0,0,2664,0,1,11160,0.028,0.028,lit
2,0.11035,18,1,1,28728,0,0,1224,0.022,0.028,lit
2,0.11035,19,0,0,2160,1,1,31176,0.03,0.021,lit
2,0.11035,20,0,0,2520,0,1,13176,0.03,0.03,lit
2,0.11035,21,1,1,26064,0,0,360,0.022,0.028,lit
2,0.11035,22,1,1,26352,1,1,14616,0.022,0.023,lit
2,0.11035,23,0,0,2160,0,0,2880,0.03,0.03,lit
2,0.11035,24,0,0,2016,0,0,2808,0.03,0.03,lit
